no,hi,x,y,c1,c2,ht
1,8.3,0.64,1.11,2.28,1.6,10.23744511
2,8.35,0.67,1.16,2.06,1.92,10.25619765
3,14.1,2.43,0.97,2.5,3.02,11.5110984
4,10,2.48,0.73,2.18,2.9,10.76945713
5,12.2,3.78,0.44,3.57,3,11.23283244
6,13.6,4.05,0.16,3.17,3.02,11.44593266
7,17.1,3.78,1.86,3.12,2.88,11.81628794
8,5,3.42,2.16,2.05,2.02,8.235933092
9,12,2.01,2.32,3.13,2.94,11.19805551
10,7.3,1.66,2.41,2.17,2.55,9.809616986
11,8,1.24,3.2,2.52,2.24,10.12006944
12,10.4,1.37,3.16,2.24,1.96,10.86892557
13,4.6,3.37,3.42,1.63,1.63,7.827782585
14,5.4,3.39,3.41,2.35,2.03,8.593806957
15,9.9,0.1,3.89,3.26,2.55,10.7432952
16,4.5,0.65,5.05,1.05,2.27,7.716854736
17,7,2.06,5.35,2.07,2,9.658326179
18,7.8,3.44,5.89,2.67,2.12,10.03689456
20,7.2,3.65,6.97,2.42,2.4,9.760521026
21,8.9,3.44,7.1,2.42,2.67,10.44862398
22,4,1.21,7.02,2.05,2.3,7.100999874
23,5.9,1.37,7.07,1.95,2.93,8.982036302
24,4.1,0.29,6.97,2.57,3.4,7.23289654
25,25.9,2.09,8.18,6.9,5.83,10.8
26,16.2,1.68,8.38,5.44,3.25,8.7
27,20.7,1.29,8.67,4.8,4.53,9.7
28,5.5,0.02,9.12,2.45,2.6,8.676349975
29,5.4,2.29,8.95,1.78,2.3,8.593806957
30,8.8,3.18,8.68,4.97,2.57,6
31,3.6,2.64,7.85,2.43,1.35,6.524450983
32,11.1,0.84,14.19,3.06,2.31,11.02514415
33,7.4,0.86,14.26,2.65,3.3,9.857441704
34,7.3,2.49,14.36,3.05,3.49,9.809616986
35,18.8,4.8,14.77,5.46,4.3,9.2
36,4.7,2.28,15.9,2.03,2.12,7.935006464
37,11.1,0.62,16.14,3.16,2.98,11.02514415
38,19.8,0.33,17.5,4.28,5.37,9.7
39,5.9,2.35,17.54,2.46,2.33,8.982036302
40,4.6,2.38,17.89,1.95,1.31,7.827782585
41,4.1,3.51,18.33,2.19,1.6,7.23289654
42,8.3,3.95,18.33,3.43,2.54,10.23744511
43,5.3,3.49,19.65,1.95,1.8,8.508608388
44,7.5,2.58,19.98,2.53,2.58,9.90403992
45,3.7,1.24,18.52,1.42,1.83,6.676294025
46,4.8,0.05,18.52,2.15,2.04,8.038677114
47,3.6,5.1,19.51,1.32,0.89,6.524450983
48,5.1,5.1,19.4,2.28,1.6,8.329791317
49,4.3,5.47,17.1,1.96,1.42,7.483256206
50,10.4,5.47,17.02,3.28,2.37,10.86892557
51,11.3,7.73,18.05,2.94,2.03,11.06607296
52,8.3,7.73,18.34,2.73,2,10.23744511
54,17.6,8.75,19.85,4.65,3.79,11.85618111
55,8.4,9.15,19.02,3.34,2.42,10.27472881
56,4.3,9.18,18.83,2.89,1.94,7.483256206
57,6.3,8.92,17.92,2.48,1.96,9.252976867
58,4.2,8.76,16.56,1.69,0.83,7.360256753
59,3.6,8.61,16.56,1.58,0.89,6.524450983
60,4.5,9.7,15.85,2.32,2.33,7.716854736
61,6.6,7.87,14.95,2.41,2.82,9.436474495
62,16.2,8.73,14.66,4.49,3.87,8.7
63,12.9,8.95,14.05,4.88,3.88,7.5
64,18,5.12,13.92,4.04,4.94,9.2
65,23.9,8.65,10.53,6.05,8.22,10.4
67,15.6,5.48,5.48,4.81,2.65,11.67966718
68,3.5,5.48,5.2,1.73,1.31,6.367174813
69,8.9,5.1,3.43,2.59,2.08,10.44862398
70,10.7,5.08,3.19,2.52,2.76,10.93848165
71,17.3,6.83,3.45,4.58,5,11.83254953
72,11.3,6.93,3.34,3.47,4.2,11.06607296
73,12.4,8.82,2.72,2.9,3.35,11.26642096
74,10.8,8.95,2.88,2.36,2.31,10.96077508
75,13.7,9.12,1.48,2.22,2.06,11.45937558
76,13.4,6.07,1.98,3.56,3.29,11.41839963
77,7.1,6.1,1.63,2.28,1.64,9.710107058
78,8.3,6.61,0.68,2.4,1.72,10.23744511
79,8.2,7.55,1.03,2.23,1.51,10.19926113
80,4.3,7.83,1.05,1.69,1.06,7.483256206
81,11.6,8.82,0.23,2.96,2.73,11.12469196
82,10.5,10.97,0.35,4.03,2.36,10.89256928
83,12.4,11.14,1.21,4.08,3.87,7.5
84,11.7,11.22,1.98,2.31,1.81,11.14352924
85,7.8,11.14,3.26,2.33,3.17,10.03689456
86,10.7,11.22,3.27,3.71,2.96,10.93848165
87,10.5,11.22,3.47,3.64,2.55,10.89256928
88,15.9,14.8,0.17,3.97,4.86,11.70924957
89,4.7,13.9,1.98,1.36,1.33,7.935006464
90,13.4,14.6,3.45,2.67,2.3,11.41839963
91,9,14.8,4.67,2.52,2.15,10.48107924
92,7.3,14.7,4.82,1.56,2.14,9.809616986
93,15.4,14.15,6.51,3.15,3.97,11.65924677
94,15.6,13.8,6.66,3.33,3.66,11.67966718
95,19.1,12.28,6.48,4.33,4.62,9
96,5.8,14.67,8.5,1.7,2.22,8.909092243
97,19.3,13.57,9.87,3.31,3.62,11.97489052
98,4.8,13.42,9.24,2.1,2.2,8.038677114
99,9.3,13.72,11.06,2.65,1.68,10.57421836
100,6,13.67,11.16,2.8,1.88,9.052813817
101,12.3,14.07,12.34,2.49,2.46,11.24977164
102,8.1,14.8,13.13,1.2,1.66,10.16014647
103,16.9,12.14,12.87,3.6,4.2,11.79960311
104,6.3,11.91,12.87,2.43,2.45,9.252976867
105,5.2,13.72,13.98,1.14,1.8,8.42064224
106,9.5,13.63,14.05,1.86,2.1,10.63299861
107,5.6,12.4,15.94,1.16,1.75,8.756344478
108,15.2,12.62,15.94,2.6,3.42,11.63824082
109,5.2,12.73,16.03,1.3,1.17,8.42064224
110,10.2,14.6,16.19,2.9,2.98,10.82019787
111,7.7,14.6,16.47,2.22,2.67,9.993726248
112,4.2,14.6,16.59,1.69,2.62,7.360256753
113,4.7,14.3,17.08,1.61,1.86,7.935006464
114,9,14.45,17.45,1.97,2.4,10.48107924
115,15.3,14.3,17.77,3.39,3.14,11.64881846
116,8,11.35,16.59,2.14,2.38,10.12006944
117,14.4,11.55,16.69,3.9,3.67,11.54786054
